hand_id,player_starting_hand,dealer_starting_hand,dealer_show_card,player_final_hand(s),dealer_final_hand,result(s),num_remaining_cards
1,"[2, 8]","[3, 9]",3,"[2, 8, 9]","[3, 9, 6]",pdd,306
2,"[10, 10]","[6, 8]",6,"[10, 10]","[6, 8, 4]",p,301
3,"[9, 4]","[4, 10]",4,"[9, 4]","[4, 10, 10]",p,296
4,"[10, 10]","[9, 10]",9,"[10, 10]","[9, 10]",p,292
5,"[10, 10]","[5, 4]",5,"[10, 10]","[5, 4, 10]",p,287
6,"[3, 10]","[10, 4]",10,"[3, 10, 6]","[10, 4, 8]",p,281
7,"[5, 11]","[10, 5]",10,"[5, 1, 2, 11]","[10, 5, 5]",d,274
8,"[10, 5]","[10, 10]",10,"[10, 5, 10]","[10, 10]",d,269
9,"[10, 11]","[10, 4]",10,"[10, 11]","[10, 4]",pbj,265
10,"[9, 4]","[9, 3]",9,"[9, 4, 10]","[9, 3]",d,260
11,"[10, 2]","[2, 10]",2,"[10, 2, 6]","[2, 10, 5]",p,254
12,"[10, 9]","[9, 11]",9,"[10, 9]","[9, 11]",d,250
13,"[10, 6]","[10, 10]",10,"[10, 6, 10]","[10, 10]",d,245
14,"[7, 11]","[10, 9]",10,"[7, 1, 6, 8]","[10, 9]",d,239
15,"[6, 7]","[4, 10]",4,"[6, 7]","[4, 10, 9]",p,234
16,"[6, 6]","[6, 5]",6,"[[6, 4, 5], [6, 3, 10]]","[6, 5, 9]","['ddd', 'ddd']",225
17,"[11, 5]","[10, 10]",10,"[11, 5, 3]","[10, 10]",d,220
18,"[10, 10]","[10, 9]",10,"[10, 10]","[10, 9]",p,216
19,"[10, 11]","[11, 4]",11,"[10, 11]","[11, 4]",pbj,212
20,"[10, 3]","[10, 4]",10,"[10, 3, 10]","[10, 4]",d,207
21,"[8, 10]","[3, 11]",3,"[8, 10]","[3, 11, 2, 3]",d,201
22,"[10, 6]","[2, 7]",2,"[10, 6]","[2, 7, 11]",d,196
23,"[2, 8]","[11, 10]",11,"[2, 8]","[11, 10]",d,192
24,"[2, 10]","[10, 10]",10,"[2, 10, 3, 7]","[10, 10]",d,186
25,"[8, 2]","[8, 5]",8,"[8, 2, 2]","[8, 5, 4]",ddd,180
