hand_id,player_starting_sum,soft_status,split_status,num_hands,dealer_show_card,player_final_sum,dealer_final_sum,result(s),num_remaining_cards,remaining_decks,player_final_hands,dealer_final_hand,running_count,true_count
1,19,hard,no split,1,7,19.0,25,1.0,306,5,"[9, 10]","[7, 5, 3, 10]",0,0.0
2,12,hard,no split,1,10,22.0,19,-1.0,301,5,"[7, 5, 10]","[10, 9]",-1,-0.2
3,20,hard,no split,1,10,20.0,19,1.0,296,5,"[10, 10]","[10, 2, 7]",-3,-0.6
4,12,hard,no split,1,5,12.0,23,1.0,290,5,"[10, 2]","[5, 5, 3, 10]",-1,-0.2
5,21,soft,no split,1,8,21.0,15,1.5,286,5,"[10, 11]","[8, 7]",-3,-0.6
6,18,hard,no split,1,10,18.0,23,1.0,281,5,"[10, 8]","[10, 6, 7]",-4,-0.8
7,13,hard,no split,1,4,13.0,21,-1.0,276,5,"[10, 3]","[4, 9, 8]",-3,-0.6
8,13,hard,no split,1,10,17.0,17,0.0,271,5,"[4, 9, 4]","[10, 7]",-2,-0.4
9,14,hard,no split,1,10,26.0,13,-1.0,265,5,"[9, 5, 2, 10]","[10, 3]",-1,-0.2
10,8,hard,no split,1,2,18.0,22,1.0,259,4,"[4, 4, 10]","[2, 10, 10]",-1,-0.25
11,21,soft,no split,1,7,21.0,15,1.5,255,4,"[10, 11]","[7, 8]",-3,-0.75
12,11,hard,no split,1,7,21.0,25,2.0,249,4,"[4, 7, 10]","[7, 8, 10]",-4,-1.0
13,9,hard,no split,1,8,17.0,18,-1.0,244,4,"[2, 7, 8]","[8, 10]",-4,-1.0
14,16,hard,no split,1,7,26.0,11,-1.0,239,4,"[10, 6, 10]","[7, 4]",-4,-1.0
15,10,hard,no split,1,10,17.0,17,0.0,233,4,"[2, 8, 7]","[10, 3, 4]",-2,-0.5
16,18,hard,split,3,4,14.333333333333334,23,3.0,223,4,"[[9, 8], [9, 3], [9, 5]]","[4, 6, 3, 10]",2,0.5
17,19,hard,no split,1,11,19.0,18,1.0,219,4,"[10, 9]","[11, 7]",0,0.0
18,19,soft,no split,1,7,19.0,23,1.0,213,4,"[11, 8]","[7, 5, 1, 10]",-2,-0.5
19,14,hard,no split,1,8,17.0,18,-1.0,208,4,"[10, 4, 3]","[8, 10]",-2,-0.5
20,16,hard,no split,1,10,26.0,15,-1.0,203,3,"[10, 6, 10]","[10, 5]",-3,-1.0
21,12,hard,no split,1,10,21.0,18,1.0,198,3,"[2, 10, 9]","[10, 8]",-4,-1.3333333333333333
22,10,hard,no split,1,8,12.0,19,-2.0,192,3,"[5, 5, 2]","[8, 6, 5]",1,0.3333333333333333
23,13,hard,no split,1,2,13.0,19,-1.0,187,3,"[3, 10]","[2, 11, 6]",2,0.6666666666666666
24,5,hard,no split,1,10,20.0,23,1.0,179,3,"[2, 3, 6, 9]","[10, 3, 1, 9]",4,1.3333333333333333
25,15,hard,no split,1,4,15.0,17,-1.0,174,3,"[10, 5]","[4, 3, 10]",5,1.6666666666666667
26,16,hard,no split,1,6,16.0,22,1.0,169,3,"[6, 10]","[6, 10, 6]",6,2.0
27,9,hard,no split,1,10,20.0,19,1.0,163,3,"[6, 3, 11]","[10, 4, 5]",8,2.6666666666666665
28,13,hard,no split,1,11,19.0,20,-1.0,158,3,"[10, 3, 6]","[11, 9]",8,2.6666666666666665
29,20,hard,no split,1,8,20.0,18,1.0,154,2,"[10, 10]","[8, 10]",5,2.5
